document_id, clean_text ,sentiment
"Join me and 
@OSIRISREx
 Principal Investigator Dante Lauretta at 5 p.m. ET as we take media questions about the sample the mission collected from asteroid Bennu on Tuesday: https://nasa.gov/live",,1
"Apps, facial recognition, and smart products can make air transit and border crossings more convenient. But they can come with some risks.",,1
These babies are too funny!,,2
We know classrooms look different this year. Headphones can help students and teachers stay connected. Shout out to all the incredible teachers going above and beyond this year!,,2
"Happy spooky season, everyone! Share your costumes and cosplays with us on the Media Library Discord for a chance to win some really neat prizes. Join the fun @ http://discord.com/invite/NswwyJ2.",,2
Looking for the latest information on #studentloans and #FAFSA amid #COVID19? Make sure to keep up-to-date with news from the US Department of Education. https://bit.ly/2ThJw8D,,1
"The new MRI machine at 
@dellchildrens
 allows doctors to see finer details and perform more complicated brain surgeries than in the past. The machine will help bring more specialty #healthcare to families here in #CentralTexas. Clapping hands signClapping hands signClapping hands sign Read more.",,1
High-tech filters and low-tech masks: How technology and personal responsibility might make flying safer than you think.,,2
"Only 13 percent of Americans say they’d be willing to fly now or before the end of the year, a new National Geographic survey shows.",,1
"A coalition of cruise industry employees and their supporters rallied Wednesday at Port Canaveral, seeking an end to the government's seven-month halt to cruising because of the coronavirus pandemic.",,1
"A dangerous yeast, which can colonize a person’s skin without generating symptoms, is rising due to medical centers being overrun",,0
"If you thought that the 2020 holidays were going to be all ""bah humbug"" in New York City, think again.",,1
"It's officially International #SnowLeopardDay.

You may clap now.",,1
Humboldt County is one of the most uniquely beautiful places in the world.,,2
"""Documenting students’ lives 'virtually' makes it difficult to capture our memories—so instead, we must document the year honestly in the best way we can""",,1
"Airlines are keen to have you on board, but should you go? 
@tomhalltravel
 weighs in",,1
"RT 
@ahrcpress
: Just one week left to apply for a place on our Engaging with Government course, taking place 23-25 February 2021.

Deadline 30 October. Find out more: http://orlo.uk/qixjY",,1
Dog Siblings Recognize Each Other And Their Hug Is Warming Our Hearts,,2
"Win a bundle of Prym Love goodies from 
@trixielixiesays
 - follow them on Facebook and tag 3 friends and for extra entries share the giveaway to your stories. End 31st October 2020- good luck! http://ow.ly/C0ss50BXcxi",,1
"Lush forests cover more than half of Slovenia, an Adriatic enclave of surprising biodiversity.",,1
"This bobsled rollercoaster looks like a blast!

""Feel the Rhythm! Feel the Rhyme! Get on up, it's bobsled time!"" (if you know, you know)",,2
"The colors, Duke, the colors! 

Our space telescopes help us see a whole 
@NASAUniverse
 of color, as seen here in the Small Magellanic Cloud. Explore more images on #NationalColorDay in our image library: http://images.nasa.gov",,1
"Each day, Americans are forced to make the choice between paying rent & having running water, or buying food & keeping the lights on. It's more common than you’d think—50 million households struggle to afford these expenses every single month.",,0
These workout tips Ledgerand videos Personal computerare a great way to mix up your usual routine whenever you’re stuck indoors ,,1
"From spectacular views to rich culture, discover these unique experiences found nowhere else. 
@visitrwanda_now
 #sponsored",,1
Voteology helps college students register to vote where it matters most ,,1
"We've all heard stories about haunted hotels, but what about haunted travel?",,1
"At 
@NASAKennedy
, Launch Pad 39B's newest visitor is the mobile launcher for #Artemis I. This visit to the pad is a dress rehearsal for the launch of 
@NASA_SLS
 and 
@NASA_Orion
 next year. Go behind the scenes: https://go.nasa.gov/2HnCCw0",,1
Multiple incidents of mass bird deaths suggests that Avitrol is often used to exterminate rather than repel birds,,0
"If you love flowers and embroidery, Trish Burr's Book of Embroidered Flowers published by 
@SearchPress
 is for you - a perfect gift! We loved it - read our review here http://ow.ly/j2EN50BWi82",,1
"In case you missed it: last night, 3 space travelers including Chris Cassidy (
@Astro_SEAL
) departed the 
@Space_Station
 after 196 days in space, safely landing back on Earth. Cassidy completed a total of 4 spacewalks on this mission, his 3rd spaceflight: https://go.nasa.gov/3obMZUt",,1
"Branch Manager - Waco-McLennan County Library - Waco, TX https://bit.ly/2TeBCwE #libraryjobs #libraryjob #LISjobs #libjobs #jobs",,1
Who said you can’t make main package after graduation?,,1
Romantic Photos Of Pastel Parrotlet Birds,,2
